date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2019-07-11,0,0,0,0,1,0,0,442.29999999999995,2446.0399999999995,1870.0,24093.588,23102.381999999998,11.959999999999997
2019-07-12,1,0,0,0,0,0,0,446.50000000000006,2440.2,1774.0,23995.102000000006,23008.009000000002,14.660000000000002
2019-07-13,0,0,1,0,0,0,0,471.8000000000001,2436.18,1605.0,18464.096999999998,17666.487,12.940000000000001
2019-07-14,0,0,0,1,0,0,0,449.6,2441.219999999999,1695.0,11458.009000000002,10881.817000000001,14.19
2019-07-15,0,1,0,0,0,0,0,468.59999999999997,2440.29,1700.0,24391.016999999996,23391.756000000005,14.069999999999999
2019-07-16,0,0,0,0,0,1,0,471.6000000000001,2435.2799999999997,1641.0,24062.063000000006,23054.836,15.640000000000002
2019-07-17,0,0,0,0,0,0,1,429.30000000000007,2422.6800000000003,1894.0,22124.716999999997,21180.385000000002,15.379999999999999
2019-07-18,0,0,0,0,1,0,0,421.60000000000014,2434.5899999999992,1589.0,21734.324000000004,20796.749000000003,14.25
2019-07-19,1,0,0,0,0,0,0,397.0,2445.269999999999,1596.0,19379.419,18533.222000000005,11.790000000000001
2019-07-20,0,0,1,0,0,0,0,412.59999999999997,2444.52,1691.0,24473.262,23448.004,11.61
2019-07-21,0,0,0,1,0,0,0,485.40000000000003,2434.8299999999995,1637.0,24355.054,23333.791000000005,21.17
2019-07-22,0,1,0,0,0,0,0,487.5000000000001,2435.719999999999,1489.0,23730.046000000002,22733.103,26.740000000000002
2019-07-23,0,0,0,0,0,1,0,441.9,2440.1100000000006,1769.0,23195.219,22219.159,13.4
2019-07-24,0,0,0,0,0,0,1,450.5,2453.24,1504.0,22755.663,21786.852,16.040000000000003
2019-07-25,0,0,0,0,1,0,0,458.5,2448.4399999999996,1623.0,8523.081,8008.325000000001,22.84
2019-07-26,1,0,0,0,0,0,0,525.8,2438.67,1523.0,8314.913,7804.6219999999985,16.57
2019-07-27,0,0,1,0,0,0,0,481.0999999999999,2449.3,1671.0,22336.813000000006,21393.679,22.309999999999995
2019-07-28,0,0,0,1,0,0,0,458.6,2450.8999999999996,1737.0,6327.021000000001,5869.585000000001,25.229999999999997
2019-07-29,0,1,0,0,0,0,0,472.59999999999997,2436.3699999999994,1731.0,17373.964,16586.245,23.400000000000002
2019-07-30,0,0,0,0,0,1,0,458.7999999999999,2436.5199999999995,1529.0,16749.197,15977.640999999998,14.02
2019-07-31,0,0,0,0,0,0,1,480.20000000000005,2437.1399999999994,1736.0,24327.321000000004,23317.205,23.709999999999997
2019-08-01,0,0,0,0,1,0,0,480.80000000000007,2432.13,1715.0,14003.502,13335.517,20.65
2019-08-02,1,0,0,0,0,0,0,493.30000000000007,2438.5799999999995,1664.0,24405.29,23394.891,19.280000000000005
2019-08-03,0,0,1,0,0,0,0,455.79999999999995,2447.3799999999997,1839.0,24267.717999999997,23263.011,23.919999999999998
2019-08-04,0,0,0,1,0,0,0,472.00000000000006,2439.16,1858.0,23640.260000000006,22660.150999999998,32.169999999999995
2019-08-05,0,1,0,0,0,0,0,494.3000000000001,2436.5900000000006,1708.0,23882.023999999998,22894.961,29.380000000000003
2019-08-06,0,0,0,0,0,1,0,461.1,2433.0299999999997,1812.0,18992.569,18156.689,25.0
2019-08-07,0,0,0,0,0,0,1,469.19999999999993,2430.0499999999993,1741.0,18743.038,17919.419000000005,21.529999999999994
2019-08-08,0,0,0,0,1,0,0,443.4999999999999,2433.0599999999995,1739.0,23345.451,22379.629,23.509999999999998
2019-08-09,1,0,0,0,0,0,0,446.00000000000006,2432.6599999999994,1736.0,21153.695,20246.351,22.99
2019-08-10,0,0,1,0,0,0,0,420.30000000000007,2433.2100000000005,1972.0,9109.604000000001,8598.298,11.89
2019-08-11,0,0,0,1,0,0,0,408.6,2440.6299999999997,2018.0,11418.423999999999,10837.689999999999,12.63
2019-08-12,0,1,0,0,0,0,0,445.99999999999994,2446.65,1825.0,21319.659000000003,20411.378,12.530000000000003
2019-08-13,0,0,0,0,0,1,0,453.60000000000014,2445.7299999999996,1842.0,23139.054,22181.994,14.719999999999999
2019-08-14,0,0,0,0,0,0,1,478.2000000000001,2448.61,1821.0,22928.015,21998.755,24.71
2019-08-15,0,0,0,0,1,0,0,464.50000000000006,2448.78,1754.0,22917.565,21987.111999999997,17.43
2019-08-16,1,0,0,0,0,0,0,431.59999999999997,2442.1000000000004,1835.0,5698.781,5300.744999999999,11.950000000000001
2019-08-17,0,0,1,0,0,0,0,455.5,2433.7599999999998,1752.0,13778.345,13145.271999999999,10.319999999999999
2019-08-18,0,0,0,1,0,0,0,435.30000000000007,2425.56,1731.0,23220.814000000002,22276.657000000003,16.14
2019-08-19,0,1,0,0,0,0,0,435.20000000000005,2434.0099999999984,1607.0,22321.93,21416.366000000005,11.539999999999997
2019-08-20,0,0,0,0,0,1,0,458.20000000000005,2430.7399999999993,1603.0,21450.803,20571.926,19.279999999999998
2019-08-21,0,0,0,0,0,0,1,412.99999999999994,2433.67,2112.0,23120.633,22185.822999999997,11.84
2019-08-22,0,0,0,0,1,0,0,419.4,2440.3099999999995,1726.0,18427.221,17649.854999999996,13.83
2019-08-23,1,0,0,0,0,0,0,392.59999999999997,2434.6800000000003,1948.0,19322.492000000002,18509.221,14.39
2019-08-24,0,0,1,0,0,0,0,413.6,2433.8100000000004,1850.0,23478.285999999996,22534.101,12.350000000000001
2019-08-25,0,0,0,1,0,0,0,427.20000000000005,2447.4599999999996,1733.0,20239.409,19413.847999999998,9.759999999999998
2019-08-26,0,1,0,0,0,0,0,407.9,2453.79,1788.0,22462.045,21538.395999999997,14.250000000000004
2019-08-27,0,0,0,0,0,1,0,448.70000000000005,2440.1099999999997,1853.0,18510.716,17706.981,23.2
